section,handle,keyword_or_theme,theme_bucket,count_or_handles,score,handles
per_handle_top10,@pitdesi,openai,AI/ML,7,32.5416,
per_handle_top10,@pitdesi,real,General,7,31.6069,
cross_handle_signal,,ai,AI/ML,11,2056.1702,@a16z|@bhorowitz|@garrytan|@jason|@naval|@pitdesi|@pmarca|@roelofbotha|@semil|@sequoia|@ycombinator
cross_handle_signal,,data,General,3,264.0432,@garrytan|@pmarca|@ycombinator
cross_handle_signal,,sequoia,General,2,521.1566,@roelofbotha|@sequoia
cross_handle_signal,,a16z,General,2,351.9683,@a16z|@bhorowitz
cross_handle_signal,,agents,AI/ML,2,286.5481,@a16z|@ycombinator
cross_handle_signal,,yc,General,2,244.4958,@garrytan|@ycombinator
cross_handle_signal,,companies,Startups,2,219.4179,@roelofbotha|@ycombinator
cross_handle_signal,,pmarca,General,2,199.4359,@a16z|@bhorowitz
cross_handle_signal,,software,Engineering/Product,2,196.2665,@a16z|@naval
cross_handle_signal,,agent,AI/ML,2,190.4376,@garrytan|@ycombinator
cross_handle_signal,,founders,Startups,2,185.6844,@roelofbotha|@semil
cross_handle_signal,,seed,Startups,2,139.3948,@roelofbotha|@semil
cross_handle_signal,,open,AI/ML,2,129.8457,@garrytan|@roelofbotha
cross_handle_signal,,money,Funding/Capital,2,102.7295,@naval|@pitdesi
